dataset,seed,source_path,selected_for_analysis,baseline_group_size,baseline_copies_differ,metrics_match_selected,normalized_config_matches_selected,raw_config_path_only_differences_in_group,metrics_sha256,metrics_hash_count,normalized_baseline_config_sha256,normalized_config_hash_count,raw_config_sha256,raw_config_hash_count,status,issues
CIFAR-100,44,runs/cifar100/resnet18/44/0.2/resnet18_seed44_none,False,4,True,True,True,True,50b014ab9ba700d0d455b823531628e7288514fd93234a7c77a4f91f6cb6d52b,3,e1332f95573a7f4179deb5c7e4f714aa07cb69f98cac7e70be99432ffa6acf1e,4,1e780d08563dbf0a135b4a6be5e09181ba76e9bc92cf827b510f03e43706ecb3,2,duplicate_baseline_exact,deduplicated_exact_no_cutout_copy
CIFAR-100,44,runs/cifar100/resnet18/44/0.3/resnet18_seed44_none,False,4,True,True,True,True,50b014ab9ba700d0d455b823531628e7288514fd93234a7c77a4f91f6cb6d52b,3,e1332f95573a7f4179deb5c7e4f714aa07cb69f98cac7e70be99432ffa6acf1e,4,916f5a4a8ea1ea08387e8cbc3f507cfe8b84679ab9306f2b469a9cbe19fe8bff,1,duplicate_baseline_exact,deduplicated_exact_no_cutout_copy
RawMal-TF,42,runs/drive_zip/resnet18/42/0.05/resnet18_seed42_none,True,4,False,True,True,False,af12b86b0c9675127129392e377d63069e7d3d6be1b7084ba47ed348774a95d4,4,eebf5622eb679a535ef20342fbcc5e3e527c2a0f6252971b6d9bb6c8ca941e01,4,14d005e34da566075ea86d5a8cbbfe254ad9d4bc131014482b35c5de1739f4b6,4,valid_selected_baseline,
RawMal-TF,42,runs/drive_zip/resnet18/42/0.1/resnet18_seed42_none,False,4,False,True,True,False,af12b86b0c9675127129392e377d63069e7d3d6be1b7084ba47ed348774a95d4,4,eebf5622eb679a535ef20342fbcc5e3e527c2a0f6252971b6d9bb6c8ca941e01,4,14d005e34da566075ea86d5a8cbbfe254ad9d4bc131014482b35c5de1739f4b6,4,duplicate_baseline_exact,deduplicated_exact_no_cutout_copy
RawMal-TF,42,runs/drive_zip/resnet18/42/0.2/resnet18_seed42_none,False,4,False,True,True,False,af12b86b0c9675127129392e377d63069e7d3d6be1b7084ba47ed348774a95d4,4,eebf5622eb679a535ef20342fbcc5e3e527c2a0f6252971b6d9bb6c8ca941e01,4,14d005e34da566075ea86d5a8cbbfe254ad9d4bc131014482b35c5de1739f4b6,4,duplicate_baseline_exact,deduplicated_exact_no_cutout_copy
RawMal-TF,42,runs/drive_zip/resnet18/42/0.3/resnet18_seed42_none,False,4,False,True,True,False,af12b86b0c9675127129392e377d63069e7d3d6be1b7084ba47ed348774a95d4,4,eebf5622eb679a535ef20342fbcc5e3e527c2a0f6252971b6d9bb6c8ca941e01,4,14d005e34da566075ea86d5a8cbbfe254ad9d4bc131014482b35c5de1739f4b6,4,duplicate_baseline_exact,deduplicated_exact_no_cutout_copy
RawMal-TF,43,runs/drive_zip/resnet18/43/0.05/resnet18_seed43_none,True,4,False,True,True,False,1b7e4850d7068bce09bdcd776eb088b3a1f42ea194e6dc428b4a4ce33d40b01a,4,c8f69e7686ca284d23333579aab6e084514ae186f7d18464600c6b8fb7442107,4,f5f5828f1e7e68ec1895a49bbdfe0b4b123322e379f5d04d0cf7a58ea380110c,4,valid_selected_baseline,
RawMal-TF,43,runs/drive_zip/resnet18/43/0.1/resnet18_seed43_none,False,4,False,True,True,False,1b7e4850d7068bce09bdcd776eb088b3a1f42ea194e6dc428b4a4ce33d40b01a,4,c8f69e7686ca284d23333579aab6e084514ae186f7d18464600c6b8fb7442107,4,f5f5828f1e7e68ec1895a49bbdfe0b4b123322e379f5d04d0cf7a58ea380110c,4,duplicate_baseline_exact,deduplicated_exact_no_cutout_copy
RawMal-TF,43,runs/drive_zip/resnet18/43/0.2/resnet18_seed43_none,False,4,False,True,True,False,1b7e4850d7068bce09bdcd776eb088b3a1f42ea194e6dc428b4a4ce33d40b01a,4,c8f69e7686ca284d23333579aab6e084514ae186f7d18464600c6b8fb7442107,4,f5f5828f1e7e68ec1895a49bbdfe0b4b123322e379f5d04d0cf7a58ea380110c,4,duplicate_baseline_exact,deduplicated_exact_no_cutout_copy
RawMal-TF,43,runs/drive_zip/resnet18/43/0.3/resnet18_seed43_none,False,4,False,True,True,False,1b7e4850d7068bce09bdcd776eb088b3a1f42ea194e6dc428b4a4ce33d40b01a,4,c8f69e7686ca284d23333579aab6e084514ae186f7d18464600c6b8fb7442107,4,f5f5828f1e7e68ec1895a49bbdfe0b4b123322e379f5d04d0cf7a58ea380110c,4,duplicate_baseline_exact,deduplicated_exact_no_cutout_copy
RawMal-TF,44,runs/drive_zip/resnet18/44/0.05/resnet18_seed44_none,True,4,False,True,True,False,b941ad1ed33a5f65c922b7f14ebff5c08aa6eb938db404388a2c033db0ce893e,4,1139ac49153e6aa56729e190b0ec6ce4897960ba11b628ac01dd0b8482be6b45,4,d2acda4e34c86685b129a22e3d58403be899ad9c63cf3295d3eb279fdd5d99ac,4,valid_selected_baseline,
RawMal-TF,44,runs/drive_zip/resnet18/44/0.1/resnet18_seed44_none,False,4,False,True,True,False,b941ad1ed33a5f65c922b7f14ebff5c08aa6eb938db404388a2c033db0ce893e,4,1139ac49153e6aa56729e190b0ec6ce4897960ba11b628ac01dd0b8482be6b45,4,d2acda4e34c86685b129a22e3d58403be899ad9c63cf3295d3eb279fdd5d99ac,4,duplicate_baseline_exact,deduplicated_exact_no_cutout_copy
RawMal-TF,44,runs/drive_zip/resnet18/44/0.2/resnet18_seed44_none,False,4,False,True,True,False,b941ad1ed33a5f65c922b7f14ebff5c08aa6eb938db404388a2c033db0ce893e,4,1139ac49153e6aa56729e190b0ec6ce4897960ba11b628ac01dd0b8482be6b45,4,d2acda4e34c86685b129a22e3d58403be899ad9c63cf3295d3eb279fdd5d99ac,4,duplicate_baseline_exact,deduplicated_exact_no_cutout_copy
RawMal-TF,44,runs/drive_zip/resnet18/44/0.3/resnet18_seed44_none,False,4,False,True,True,False,b941ad1ed33a5f65c922b7f14ebff5c08aa6eb938db404388a2c033db0ce893e,4,1139ac49153e6aa56729e190b0ec6ce4897960ba11b628ac01dd0b8482be6b45,4,d2acda4e34c86685b129a22e3d58403be899ad9c63cf3295d3eb279fdd5d99ac,4,duplicate_baseline_exact,deduplicated_exact_no_cutout_copy
