check_type,severity,status,dataset_folder,model_folder,seed,run_name,condition,related_run,details
duplicate_metrics_hash,critical,fail,cifar100,densenet121,42,densenet121_seed42_cam_low_M4_area0.1,cam_low M4,,"metrics_hash=4ba861f4e72b3f1a80e3bb4f91d7df5c667df4cc6d6d0cd698f552cd037a7a19; duplicate among: runs/cifar100/densenet121/densenet121_seed42_cam_high_M4_area0.1, runs/cifar100/densenet121/densenet121_seed42_cam_low_M4_area0.1"
duplicate_metrics_hash,critical,fail,cifar100,densenet121,42,densenet121_seed42_cam_high_M8_area0.1,cam_high M8,,"metrics_hash=211610abf3d4782d697232cbaccbaf6abc4f9b99d2505f7e5f194e4248901125; duplicate among: runs/cifar100/densenet121/densenet121_seed42_cam_high_M8_area0.1, runs/cifar100/densenet121/densenet121_seed42_cam_low_M8_area0.1"
duplicate_metrics_hash,critical,fail,cifar100,densenet121,42,densenet121_seed42_cam_low_M8_area0.1,cam_low M8,,"metrics_hash=211610abf3d4782d697232cbaccbaf6abc4f9b99d2505f7e5f194e4248901125; duplicate among: runs/cifar100/densenet121/densenet121_seed42_cam_high_M8_area0.1, runs/cifar100/densenet121/densenet121_seed42_cam_low_M8_area0.1"
duplicate_metrics_hash,critical,fail,cifar100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,,"metrics_hash=f81cd2ce7a317a2cb0a5828760abdb9f91e12dc8aa312e905b27f0023dd90dd7; duplicate among: runs/cifar100/resnet18/resnet18_seed42_cam_high_M4_area0.1, runs/cifar100/resnet18/resnet18_seed42_cam_low_M4_area0.1"
duplicate_metrics_hash,critical,fail,cifar100,resnet18,42,resnet18_seed42_cam_low_M4_area0.1,cam_low M4,,"metrics_hash=f81cd2ce7a317a2cb0a5828760abdb9f91e12dc8aa312e905b27f0023dd90dd7; duplicate among: runs/cifar100/resnet18/resnet18_seed42_cam_high_M4_area0.1, runs/cifar100/resnet18/resnet18_seed42_cam_low_M4_area0.1"
duplicate_metrics_hash,critical,fail,cifar100,resnet18,42,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,,"metrics_hash=5918cdc6a99badc470c445416a2ad1dd90d946c211c1ddac0bc6e49077585c59; duplicate among: runs/cifar100/resnet18/resnet18_seed42_cam_high_M8_area0.1, runs/cifar100/resnet18/resnet18_seed42_cam_low_M8_area0.1"
duplicate_metrics_hash,critical,fail,cifar100,resnet18,42,resnet18_seed42_cam_low_M8_area0.1,cam_low M8,,"metrics_hash=5918cdc6a99badc470c445416a2ad1dd90d946c211c1ddac0bc6e49077585c59; duplicate among: runs/cifar100/resnet18/resnet18_seed42_cam_high_M8_area0.1, runs/cifar100/resnet18/resnet18_seed42_cam_low_M8_area0.1"
duplicate_metrics_hash,critical,fail,malimg,densenet121,42,densenet121_seed42_cam_high_M8_area0.1,cam_high M8,,"metrics_hash=d17bc6de8152f73520bf4d3b74513e890a1f7745cb39b30a57c4c3be79fe1e6b; duplicate among: runs/malimg/densenet121/densenet121_seed42_cam_high_M8_area0.1, runs/malimg/densenet121/densenet121_seed42_cam_low_M8_area0.1"
duplicate_metrics_hash,critical,fail,malimg,densenet121,42,densenet121_seed42_cam_low_M8_area0.1,cam_low M8,,"metrics_hash=d17bc6de8152f73520bf4d3b74513e890a1f7745cb39b30a57c4c3be79fe1e6b; duplicate among: runs/malimg/densenet121/densenet121_seed42_cam_high_M8_area0.1, runs/malimg/densenet121/densenet121_seed42_cam_low_M8_area0.1"
duplicate_metrics_hash,critical,fail,malimg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,,"metrics_hash=a829b9517d1e6f99bc41808096f200e75e615c52350d61c910611e29b3c79dd8; duplicate among: runs/malimg/resnet18/resnet18_seed42_cam_high_M4_area0.1, runs/malimg/resnet18/resnet18_seed42_cam_low_M4_area0.1"
duplicate_metrics_hash,critical,fail,malimg,resnet18,42,resnet18_seed42_cam_low_M4_area0.1,cam_low M4,,"metrics_hash=a829b9517d1e6f99bc41808096f200e75e615c52350d61c910611e29b3c79dd8; duplicate among: runs/malimg/resnet18/resnet18_seed42_cam_high_M4_area0.1, runs/malimg/resnet18/resnet18_seed42_cam_low_M4_area0.1"
duplicate_metrics_hash,critical,fail,malimg,resnet18,42,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,,"metrics_hash=1962be9ad44f82233771737e6c9fe4128aa97fd215edd3a255a51b18bb3c03f3; duplicate among: runs/malimg/resnet18/resnet18_seed42_cam_high_M8_area0.1, runs/malimg/resnet18/resnet18_seed42_cam_low_M8_area0.1"
duplicate_metrics_hash,critical,fail,malimg,resnet18,42,resnet18_seed42_cam_low_M8_area0.1,cam_low M8,,"metrics_hash=1962be9ad44f82233771737e6c9fe4128aa97fd215edd3a255a51b18bb3c03f3; duplicate among: runs/malimg/resnet18/resnet18_seed42_cam_high_M8_area0.1, runs/malimg/resnet18/resnet18_seed42_cam_low_M8_area0.1"
duplicate_metrics_hash,critical,fail,rawmaltf,densenet121,42,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,,"metrics_hash=1d0a402e9ee443c5610c58792ab4c6e44ccd502b845e2d4f78169a995de7150f; duplicate among: runs/rawmaltf/densenet121/densenet121_seed42_cam_high_M4_area0.1, runs/rawmaltf/densenet121/densenet121_seed42_cam_low_M4_area0.1"
duplicate_metrics_hash,critical,fail,rawmaltf,densenet121,42,densenet121_seed42_cam_low_M4_area0.1,cam_low M4,,"metrics_hash=1d0a402e9ee443c5610c58792ab4c6e44ccd502b845e2d4f78169a995de7150f; duplicate among: runs/rawmaltf/densenet121/densenet121_seed42_cam_high_M4_area0.1, runs/rawmaltf/densenet121/densenet121_seed42_cam_low_M4_area0.1"
duplicate_metrics_hash,critical,fail,rawmaltf,densenet121,42,densenet121_seed42_cam_high_M8_area0.1,cam_high M8,,"metrics_hash=4c384cf098b9395b43ef77019137bc219f565068aed1083090503bff566ce524; duplicate among: runs/rawmaltf/densenet121/densenet121_seed42_cam_high_M8_area0.1, runs/rawmaltf/densenet121/densenet121_seed42_cam_low_M8_area0.1"
duplicate_metrics_hash,critical,fail,rawmaltf,densenet121,42,densenet121_seed42_cam_low_M8_area0.1,cam_low M8,,"metrics_hash=4c384cf098b9395b43ef77019137bc219f565068aed1083090503bff566ce524; duplicate among: runs/rawmaltf/densenet121/densenet121_seed42_cam_high_M8_area0.1, runs/rawmaltf/densenet121/densenet121_seed42_cam_low_M8_area0.1"
duplicate_metrics_hash,critical,fail,rawmaltf,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,,"metrics_hash=17eb71cae0a43cc39eb5d2f24f37c8cebc004f1347f55b150571b66d99c754e8; duplicate among: runs/rawmaltf/resnet18/resnet18_seed42_cam_high_M4_area0.1, runs/rawmaltf/resnet18/resnet18_seed42_cam_low_M4_area0.1"
duplicate_metrics_hash,critical,fail,rawmaltf,resnet18,42,resnet18_seed42_cam_low_M4_area0.1,cam_low M4,,"metrics_hash=17eb71cae0a43cc39eb5d2f24f37c8cebc004f1347f55b150571b66d99c754e8; duplicate among: runs/rawmaltf/resnet18/resnet18_seed42_cam_high_M4_area0.1, runs/rawmaltf/resnet18/resnet18_seed42_cam_low_M4_area0.1"
duplicate_metrics_hash,critical,fail,rawmaltf,resnet18,42,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,,"metrics_hash=1609c7925643d65d722114a74fd33ec7bbd25cc864029031a2fb706eaa704bd5; duplicate among: runs/rawmaltf/resnet18/resnet18_seed42_cam_high_M8_area0.1, runs/rawmaltf/resnet18/resnet18_seed42_cam_low_M8_area0.1"
duplicate_metrics_hash,critical,fail,rawmaltf,resnet18,42,resnet18_seed42_cam_low_M8_area0.1,cam_low M8,,"metrics_hash=1609c7925643d65d722114a74fd33ec7bbd25cc864029031a2fb706eaa704bd5; duplicate among: runs/rawmaltf/resnet18/resnet18_seed42_cam_high_M8_area0.1, runs/rawmaltf/resnet18/resnet18_seed42_cam_low_M8_area0.1"
identical_cam_low_high_metrics,critical,fail,cifar100,densenet121,42,densenet121_seed42_cam_low_M4_area0.1,cam_low M4,densenet121_seed42_cam_high_M4_area0.1,"cam_low=densenet121_seed42_cam_low_M4_area0.1 and cam_high=densenet121_seed42_cam_high_M4_area0.1 same_raw_csv_hash=true, same_numeric_arrays=true"
identical_cam_low_high_metrics,critical,fail,cifar100,densenet121,42,densenet121_seed42_cam_low_M8_area0.1,cam_low M8,densenet121_seed42_cam_high_M8_area0.1,"cam_low=densenet121_seed42_cam_low_M8_area0.1 and cam_high=densenet121_seed42_cam_high_M8_area0.1 same_raw_csv_hash=true, same_numeric_arrays=true"
identical_cam_low_high_metrics,critical,fail,cifar100,resnet18,42,resnet18_seed42_cam_low_M4_area0.1,cam_low M4,resnet18_seed42_cam_high_M4_area0.1,"cam_low=resnet18_seed42_cam_low_M4_area0.1 and cam_high=resnet18_seed42_cam_high_M4_area0.1 same_raw_csv_hash=true, same_numeric_arrays=true"
identical_cam_low_high_metrics,critical,fail,cifar100,resnet18,42,resnet18_seed42_cam_low_M8_area0.1,cam_low M8,resnet18_seed42_cam_high_M8_area0.1,"cam_low=resnet18_seed42_cam_low_M8_area0.1 and cam_high=resnet18_seed42_cam_high_M8_area0.1 same_raw_csv_hash=true, same_numeric_arrays=true"
identical_cam_low_high_metrics,critical,fail,malimg,densenet121,42,densenet121_seed42_cam_low_M8_area0.1,cam_low M8,densenet121_seed42_cam_high_M8_area0.1,"cam_low=densenet121_seed42_cam_low_M8_area0.1 and cam_high=densenet121_seed42_cam_high_M8_area0.1 same_raw_csv_hash=true, same_numeric_arrays=true"
identical_cam_low_high_metrics,critical,fail,malimg,resnet18,42,resnet18_seed42_cam_low_M4_area0.1,cam_low M4,resnet18_seed42_cam_high_M4_area0.1,"cam_low=resnet18_seed42_cam_low_M4_area0.1 and cam_high=resnet18_seed42_cam_high_M4_area0.1 same_raw_csv_hash=true, same_numeric_arrays=true"
identical_cam_low_high_metrics,critical,fail,malimg,resnet18,42,resnet18_seed42_cam_low_M8_area0.1,cam_low M8,resnet18_seed42_cam_high_M8_area0.1,"cam_low=resnet18_seed42_cam_low_M8_area0.1 and cam_high=resnet18_seed42_cam_high_M8_area0.1 same_raw_csv_hash=true, same_numeric_arrays=true"
identical_cam_low_high_metrics,critical,fail,rawmaltf,densenet121,42,densenet121_seed42_cam_low_M4_area0.1,cam_low M4,densenet121_seed42_cam_high_M4_area0.1,"cam_low=densenet121_seed42_cam_low_M4_area0.1 and cam_high=densenet121_seed42_cam_high_M4_area0.1 same_raw_csv_hash=true, same_numeric_arrays=true"
identical_cam_low_high_metrics,critical,fail,rawmaltf,densenet121,42,densenet121_seed42_cam_low_M8_area0.1,cam_low M8,densenet121_seed42_cam_high_M8_area0.1,"cam_low=densenet121_seed42_cam_low_M8_area0.1 and cam_high=densenet121_seed42_cam_high_M8_area0.1 same_raw_csv_hash=true, same_numeric_arrays=true"
identical_cam_low_high_metrics,critical,fail,rawmaltf,resnet18,42,resnet18_seed42_cam_low_M4_area0.1,cam_low M4,resnet18_seed42_cam_high_M4_area0.1,"cam_low=resnet18_seed42_cam_low_M4_area0.1 and cam_high=resnet18_seed42_cam_high_M4_area0.1 same_raw_csv_hash=true, same_numeric_arrays=true"
identical_cam_low_high_metrics,critical,fail,rawmaltf,resnet18,42,resnet18_seed42_cam_low_M8_area0.1,cam_low M8,resnet18_seed42_cam_high_M8_area0.1,"cam_low=resnet18_seed42_cam_low_M8_area0.1 and cam_high=resnet18_seed42_cam_high_M8_area0.1 same_raw_csv_hash=true, same_numeric_arrays=true"
